company,holder of position,% of capital,communication date,position date
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.59,2023-03-01,2023-02-28
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.60,2023-02-23,2023-02-22
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.59,2023-02-21,2023-02-20
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.61,2023-02-16,2023-02-15
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.58,2023-02-15,2023-02-14
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.61,2023-02-13,2023-02-10
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.59,2023-02-08,2023-02-07
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.67,2023-02-07,2023-02-06
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.72,2023-01-27,2023-01-26
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.69,2023-01-26,2023-01-25
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.71,2023-01-25,2023-01-24
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.60,2023-01-09,2023-01-06
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.53,2023-01-05,2023-01-04
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.58,2022-12-08,2022-12-07
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.69,2022-12-05,2022-12-02
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.56,2022-11-22,2022-11-21
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.59,2022-11-02,2022-11-01
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.62,2022-10-27,2022-10-26
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.51,2022-10-20,2022-10-19
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.57,2022-10-06,2022-10-05
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.60,2022-10-04,2022-10-03
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.59,2022-10-03,2022-09-30
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.69,2022-09-19,2022-09-16
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.70,2022-09-16,2022-09-15
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.68,2022-08-17,2022-08-16
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.77,2022-08-08,2022-08-05
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.83,2022-08-02,2022-08-01
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.51,2022-08-01,2022-07-29
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.52,2020-03-26,2020-03-25
"ALTRI, S.G.P.S., S.A.",Citadel Advisors LLC,0.50,2020-03-04,2020-03-03
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,1.15,2023-04-03,2023-03-31
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,1.02,2023-03-01,2023-02-28
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,1.16,2023-02-03,2023-02-02
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,1.22,2022-12-12,2022-12-09
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,1.13,2022-11-28,2022-11-25
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,1.01,2022-11-25,2022-11-24
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,0.95,2022-11-24,2022-11-23
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,0.88,2022-11-23,2022-11-22
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,0.76,2022-11-22,2022-11-21
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,0.62,2022-11-21,2022-11-18
"ALTRI, S.G.P.S., S.A.",Praxis Alpha Partners LLP,0.54,2022-11-18,2022-11-17
"ALTRI, S.G.P.S., S.A.",Rye Bay Capital LLP,0.69,2023-03-28,2023-03-27
"ALTRI, S.G.P.S., S.A.",Rye Bay Capital LLP,0.70,2023-01-20,2023-01-19
"ALTRI, S.G.P.S., S.A.",Rye Bay Capital LLP,0.65,2023-01-19,2023-01-18
"ALTRI, S.G.P.S., S.A.",Rye Bay Capital LLP,0.56,2022-12-22,2022-12-21
"ALTRI, S.G.P.S., S.A.",Walleye Capital LLC,0.81,2023-04-13,2023-04-13
"ALTRI, S.G.P.S., S.A.",Walleye Capital LLC,0.79,2023-04-12,2023-04-12
"ALTRI, S.G.P.S., S.A.",Walleye Capital LLC,0.82,2023-04-04,2023-04-03
"ALTRI, S.G.P.S., S.A.",Walleye Capital LLC,0.74,2023-03-21,2023-03-21
"ALTRI, S.G.P.S., S.A.",Walleye Capital LLC,0.66,2023-03-19,2023-03-17
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.52,2023-01-26,2023-01-25
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.56,2023-01-13,2023-01-12
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.60,2022-12-14,2022-12-13
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.51,2022-12-08,2022-12-07
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.59,2022-11-10,2022-11-09
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.61,2022-11-04,2022-11-03
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.59,2022-11-03,2022-11-02
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.68,2022-10-19,2022-10-18
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.70,2022-10-06,2022-10-05
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.67,2022-09-28,2022-09-27
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.70,2022-09-27,2022-09-26
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.69,2022-09-22,2022-09-21
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.70,2022-09-20,2022-09-19
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.61,2022-08-26,2022-08-25
"ALTRI, S.G.P.S., S.A.","WorldQuant, LLC",0.52,2022-08-23,2022-08-22
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.58,2016-04-05,2016-04-04
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.68,2016-03-21,2016-03-18
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.70,2016-02-09,2016-02-08
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.63,2016-01-27,2016-01-26
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.52,2016-01-22,2016-01-21
"Banco Comercial Português, SA","Arrowstreet Capital, Limited Partnership",0.51,2015-06-30,2015-06-30
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.40,2016-09-14,2016-09-13
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.30,2016-05-27,2016-05-26
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.21,2016-04-27,2016-04-26
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.19,2016-04-21,2016-04-20
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.29,2016-04-15,2016-04-14
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.30,2016-04-08,2016-04-07
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.20,2016-04-07,2016-04-06
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.12,2016-04-06,2016-04-05
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.00,2016-04-04,2016-04-01
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.91,2016-03-23,2016-03-22
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.89,2016-03-22,2016-03-21
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.92,2016-03-21,2016-03-18
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.87,2016-03-16,2016-03-15
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.95,2016-03-15,2016-03-14
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,1.04,2016-03-04,2016-03-03
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.94,2016-03-03,2016-03-02
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.80,2016-03-01,2016-02-29
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.72,2016-02-18,2016-02-17
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.61,2016-02-15,2016-02-12
"Banco Comercial Português, SA",BlackRock Investment Management (UK) Limited,0.50,2016-02-12,2016-02-11
"Banco Comercial Português, SA",Discovery Capital Management LLC,0.54,2013-11-18,2013-11-18
"Banco Comercial Português, SA",Discovery Capital Management LLC,0.74,2013-11-15,2013-11-15
"Banco Comercial Português, SA",Discovery Capital Management LLC,0.84,2013-08-01,2013-08-01
"Banco Comercial Português, SA",Discovery Capital Management LLC,0.71,2013-04-05,2013-04-05
"Banco Comercial Português, SA",Discovery Capital Management LLC,0.58,2013-04-04,2013-04-04
"Banco Comercial Português, SA",Lansdowne Partners Limited,1.31,2014-06-16,2014-06-13
"Banco Comercial Português, SA",Lansdowne Partners Limited,1.25,2014-06-12,2014-06-11
"Banco Comercial Português, SA",Lansdowne Partners Limited,1.11,2014-06-10,2014-06-09
"Banco Comercial Português, SA",Lansdowne Partners Limited,1.00,2014-06-05,2014-06-04
"Banco Comercial Português, SA",Lansdowne Partners Limited,0.90,2014-05-28,2014-05-27
"Banco Comercial Português, SA",Lansdowne Partners Limited,0.82,2014-05-13,2014-05-12
"Banco Comercial Português, SA",Lansdowne Partners Limited,0.60,2014-04-29,2014-04-28
"Banco Comercial Português, SA",Lansdowne Partners Limited,0.51,2014-04-14,2014-04-11
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.82,2016-08-02,2016-08-01
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.97,2016-06-27,2016-06-24
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.73,2016-06-20,2016-06-17
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.65,2016-06-17,2016-06-16
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.43,2016-06-16,2016-06-15
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.31,2016-06-15,2016-06-14
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.24,2016-06-14,2016-06-13
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.15,2016-03-15,2016-03-14
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.36,2016-03-14,2016-03-11
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.46,2016-03-08,2016-03-07
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.52,2016-02-02,2016-02-01
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.61,2016-01-06,2016-01-05
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.73,2016-01-05,2016-01-04
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.61,2015-12-11,2015-12-10
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.51,2015-11-23,2015-11-20
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.42,2015-09-02,2015-09-01
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.31,2015-07-29,2015-07-28
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.24,2015-06-18,2015-06-16
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.35,2015-06-16,2015-06-15
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.28,2015-03-26,2015-03-25
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.38,2015-03-23,2015-03-20
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.49,2015-03-19,2015-03-18
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.50,2015-03-18,2015-03-17
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.48,2015-03-04,2015-03-03
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.59,2015-02-19,2015-02-18
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.60,2015-02-04,2015-02-03
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.55,2015-01-16,2015-01-15
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.61,2014-12-18,2014-12-17
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.59,2014-12-12,2014-12-11
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.62,2014-12-10,2014-12-09
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.59,2014-12-03,2014-12-02
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.60,2014-12-02,2014-12-01
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.51,2014-11-06,2014-11-05
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.49,2014-11-03,2014-10-31
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.55,2014-10-15,2014-10-14
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.49,2014-10-08,2014-10-07
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.55,2014-07-29,2014-07-28
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.95,2014-07-23,2014-07-22
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.74,2014-07-22,2014-07-21
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.61,2014-07-17,2014-07-16
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.51,2014-07-16,2014-07-15
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.40,2014-07-15,2014-07-14
"Banco Comercial Português, SA",Lansdowne Partners (UK) LLP,1.32,2014-07-02,2014-07-01
"Banco Comercial Português, SA",Man Solutions Limited,0.50,2016-10-20,2016-10-19
"Banco Comercial Português, SA",Man Solutions Limited,0.61,2016-10-19,2016-10-18
"Banco Comercial Português, SA",Man Solutions Limited,0.70,2016-10-13,2016-10-12
"Banco Comercial Português, SA",Man Solutions Limited,0.61,2016-09-15,2016-09-14
"Banco Comercial Português, SA",Man Solutions Limited,0.53,2016-09-02,2016-09-01
"Banco Comercial Português, SA",Man Solutions Limited,0.63,2016-07-28,2016-07-27
"Banco Comercial Português, SA",Man Solutions Limited,0.59,2016-07-11,2016-07-08
"Banco Comercial Português, SA",Man Solutions Limited,0.64,2016-06-30,2016-06-29
"Banco Comercial Português, SA",Man Solutions Limited,0.76,2016-06-01,2016-05-31
"Banco Comercial Português, SA",Man Solutions Limited,0.93,2016-04-08,2016-04-07
"Banco Comercial Português, SA",Man Solutions Limited,0.80,2016-03-17,2016-03-16
"Banco Comercial Português, SA",Man Solutions Limited,0.71,2016-03-07,2016-03-04
"Banco Comercial Português, SA",Man Solutions Limited,0.54,2016-02-15,2016-02-12
"Banco Comercial Português, SA",Man Solutions Limited,0.51,2016-01-25,2016-01-22
"Banco Comercial Português, SA",Man Solutions Limited,0.51,2015-09-16,2015-09-15
"Banco Comercial Português, SA",Man Solutions Limited,0.52,2015-09-09,2015-09-08
"Banco Comercial Português, SA",Marshall Wace Asia Limited,0.50,2015-02-18,2015-02-17
"Banco Comercial Português, SA",Marshall Wace Asia Limited,0.59,2015-02-09,2015-02-06
"Banco Comercial Português, SA",Marshall Wace Asia Limited,0.60,2015-01-29,2015-01-28
"Banco Comercial Português, SA",Marshall Wace Asia Limited,0.51,2015-01-23,2015-01-22
"Banco Comercial Português, SA",Marshall Wace LLP,0.55,2016-01-19,2016-01-18
"Banco Comercial Português, SA",Marshall Wace LLP,0.68,2015-12-11,2015-12-10
"Banco Comercial Português, SA",Marshall Wace LLP,0.71,2015-12-02,2015-12-01
"Banco Comercial Português, SA",Marshall Wace LLP,0.61,2015-11-25,2015-11-24
"Banco Comercial Português, SA",Marshall Wace LLP,0.51,2015-11-20,2015-11-19
"Banco Comercial Português, SA",Marshall Wace LLP,0.59,2015-04-28,2015-04-27
"Banco Comercial Português, SA",Marshall Wace LLP,0.62,2015-04-22,2015-04-21
"Banco Comercial Português, SA",Marshall Wace LLP,0.58,2015-04-21,2015-04-20
"Banco Comercial Português, SA",Marshall Wace LLP,0.67,2015-04-08,2015-04-07
"Banco Comercial Português, SA",Marshall Wace LLP,0.79,2015-03-24,2015-03-23
"Banco Comercial Português, SA",Marshall Wace LLP,0.89,2015-03-17,2015-03-16
"Banco Comercial Português, SA",Marshall Wace LLP,0.97,2015-03-13,2015-03-12
"Banco Comercial Português, SA",Marshall Wace LLP,1.08,2015-03-04,2015-03-03
"Banco Comercial Português, SA",Marshall Wace LLP,1.11,2015-02-26,2015-02-25
"Banco Comercial Português, SA",Marshall Wace LLP,1.09,2015-02-25,2015-02-24
"Banco Comercial Português, SA",Marshall Wace LLP,1.17,2015-02-23,2015-02-20
"Banco Comercial Português, SA",Marshall Wace LLP,1.27,2015-02-19,2015-02-18
"Banco Comercial Português, SA",Marshall Wace LLP,1.32,2015-02-18,2015-02-17
"Banco Comercial Português, SA",Marshall Wace LLP,1.49,2015-02-13,2015-02-12
"Banco Comercial Português, SA",Marshall Wace LLP,1.57,2015-02-10,2015-02-09
"Banco Comercial Português, SA",Marshall Wace LLP,1.67,2015-02-04,2015-02-03
"Banco Comercial Português, SA",Marshall Wace LLP,1.76,2015-02-02,2015-01-30
"Banco Comercial Português, SA",Marshall Wace LLP,1.80,2015-01-29,2015-01-28
"Banco Comercial Português, SA",Marshall Wace LLP,1.73,2015-01-28,2015-01-27
"Banco Comercial Português, SA",Marshall Wace LLP,1.60,2015-01-23,2015-01-22
"Banco Comercial Português, SA",Marshall Wace LLP,1.49,2015-01-22,2015-01-21
"Banco Comercial Português, SA",Marshall Wace LLP,1.51,2015-01-19,2015-01-16
"Banco Comercial Português, SA",Marshall Wace LLP,1.41,2015-01-14,2015-01-13
"Banco Comercial Português, SA",Marshall Wace LLP,1.31,2015-01-09,2015-01-08
"Banco Comercial Português, SA",Marshall Wace LLP,1.23,2015-01-06,2015-01-05
"Banco Comercial Português, SA",Marshall Wace LLP,1.12,2014-12-30,2014-12-29
"Banco Comercial Português, SA",Marshall Wace LLP,1.07,2014-12-18,2014-12-17
"Banco Comercial Português, SA",Marshall Wace LLP,1.18,2014-12-16,2014-12-15
"Banco Comercial Português, SA",Marshall Wace LLP,1.29,2014-12-05,2014-12-04
"Banco Comercial Português, SA",Marshall Wace LLP,1.39,2014-12-03,2014-12-02
"Banco Comercial Português, SA",Marshall Wace LLP,1.49,2014-11-25,2014-11-24
"Banco Comercial Português, SA",Marshall Wace LLP,1.50,2014-11-24,2014-11-21
"Banco Comercial Português, SA",Marshall Wace LLP,1.42,2014-11-19,2014-11-18
"Banco Comercial Português, SA",Marshall Wace LLP,1.33,2014-11-17,2014-11-14
"Banco Comercial Português, SA",Marshall Wace LLP,1.29,2014-11-14,2014-11-13
"Banco Comercial Português, SA",Marshall Wace LLP,1.14,2014-11-12,2014-11-11
"Banco Comercial Português, SA",Marshall Wace LLP,1.02,2014-11-07,2014-11-06
"Banco Comercial Português, SA",Marshall Wace LLP,0.92,2014-11-05,2014-11-04
"Banco Comercial Português, SA",Marshall Wace LLP,0.83,2014-11-03,2014-10-31
"Banco Comercial Português, SA",Marshall Wace LLP,0.74,2014-10-28,2014-10-27
"Banco Comercial Português, SA",Marshall Wace LLP,0.80,2014-10-27,2014-10-24
"Banco Comercial Português, SA",Marshall Wace LLP,0.72,2014-10-21,2014-10-20
"Banco Comercial Português, SA",Marshall Wace LLP,0.69,2014-10-20,2014-10-17
"Banco Comercial Português, SA",Marshall Wace LLP,0.70,2014-10-17,2014-10-16
"Banco Comercial Português, SA",Marshall Wace LLP,0.66,2014-10-14,2014-10-13
"Banco Comercial Português, SA",Marshall Wace LLP,0.70,2014-10-10,2014-10-09
"Banco Comercial Português, SA",Marshall Wace LLP,0.69,2014-10-09,2014-10-08
"Banco Comercial Português, SA",Marshall Wace LLP,0.70,2014-10-07,2014-10-06
"Banco Comercial Português, SA",Marshall Wace LLP,0.62,2014-10-03,2014-10-02
"Banco Comercial Português, SA",Marshall Wace LLP,0.59,2014-09-29,2014-09-26
"Banco Comercial Português, SA",Marshall Wace LLP,0.61,2014-09-23,2014-09-22
"Banco Comercial Português, SA",Marshall Wace LLP,0.51,2014-09-09,2014-09-08
"Banco Comercial Português, SA",Marshall Wace LLP,0.59,2014-05-26,2014-05-23
"Banco Comercial Português, SA",Marshall Wace LLP,0.69,2014-05-21,2014-05-20
"Banco Comercial Português, SA",Marshall Wace LLP,0.71,2014-05-20,2014-05-19
"Banco Comercial Português, SA",Marshall Wace LLP,0.65,2014-05-19,2014-05-16
"Banco Comercial Português, SA",Millennium International Management LP,0.51,2016-05-31,2016-05-30
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.50,2016-09-19,2016-09-16
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.66,2016-06-15,2016-06-13
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.75,2016-05-25,2016-05-24
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.98,2016-05-19,2016-05-18
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,1.00,2016-05-13,2016-05-12
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.99,2016-05-10,2016-05-09
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,1.03,2016-05-09,2016-05-06
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,1.11,2016-04-25,2016-04-22
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,1.00,2016-03-22,2016-03-21
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.90,2016-03-11,2016-03-10
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.89,2016-02-24,2016-02-23
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,1.02,2016-01-19,2016-01-18
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.90,2016-01-11,2016-01-08
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.85,2015-12-15,2015-12-14
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.71,2015-12-08,2015-12-07
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.61,2015-11-27,2015-11-26
"Banco Comercial Português, SA",Oceanwood Capital Management Limited,0.53,2015-11-26,2015-11-25
"Banco Comercial Português, SA",Odey Asset Management LLP,0.56,2015-05-08,2015-05-07
"Banco Comercial Português, SA",Susquehanna International Holdings LLC,0.55,2014-07-25,2014-07-24
"Banco Comercial Português, SA",The Abaco Financials Fund,0.50,2016-05-13,2016-05-12
"Banco Comercial Português, SA",The Abaco Financials Fund,0.51,2016-04-29,2016-04-28
"Banco Comercial Português, SA",The Abaco Financials Fund,0.51,2016-04-25,2016-04-22
"Banco Comercial Português, SA",The Abaco Financials Fund,0.50,2016-03-09,2016-03-08
"Banco Comercial Português, SA",The Abaco Financials Fund,0.50,2015-07-08,2015-07-07
"Banco Comercial Português, SA",The Abaco Financials Fund,0.51,2015-02-25,2015-02-24
"Banco Comercial Português, SA",The Abaco Financials Fund,0.55,2014-07-28,2014-07-25
"Banco Comercial Português, SA",The Abaco Financials Fund,1.50,2014-07-24,2014-07-23
"Banco Comercial Português, SA",The Abaco Financials Fund,1.46,2014-07-21,2014-07-18
"Banco Comercial Português, SA",The Abaco Financials Fund,1.35,2014-07-17,2014-07-16
"Banco Comercial Português, SA",The Abaco Financials Fund,1.21,2014-07-16,2014-07-15
"Banco Comercial Português, SA",The Abaco Financials Fund,1.11,2014-07-14,2014-07-11
"Banco Comercial Português, SA",The Abaco Financials Fund,1.01,2014-07-11,2014-07-10
"Banco Comercial Português, SA",The Abaco Financials Fund,0.80,2014-05-23,2014-05-22
"Banco Comercial Português, SA",The Abaco Financials Fund,0.71,2013-05-17,2013-05-17
"Banco Comercial Português, SA",The Abaco Financials Fund,0.61,2013-05-13,2013-05-13
"Banco Comercial Português, SA",The Abaco Financials Fund,0.52,2013-05-09,2013-05-09
"Banco Comercial Português, SA",TT International,0.52,2016-02-02,2016-02-01
"Banco Comercial Português, SA",TT International,0.54,2016-01-22,2016-01-21
"Banco Comercial Português, SA",TT International,0.60,2016-01-04,2015-12-31
"Banco Comercial Português, SA",TT International,0.57,2015-12-11,2015-12-10
"Banco Comercial Português, SA",TT International,0.67,2015-11-18,2015-11-17
"Banco Comercial Português, SA",TT International,0.71,2015-10-19,2015-10-16
"Banco Comercial Português, SA",TT International,0.67,2015-10-02,2015-10-01
"Banco Comercial Português, SA",TT International,0.78,2015-10-01,2015-09-30
"Banco Comercial Português, SA",TT International,0.80,2015-09-15,2015-09-14
"Banco Comercial Português, SA",TT International,0.73,2015-08-25,2015-08-24
"Banco Comercial Português, SA",TT International,0.65,2015-08-07,2015-08-06
"Banco Comercial Português, SA",TT International,0.52,2015-07-28,2015-07-27
"Banco Comercial Português, SA",TT International,0.53,2014-07-14,2014-07-11
"Banco Comercial Português, SA",TT International,0.51,2013-04-16,2013-04-15
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.59,2018-03-02,2018-03-01
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.69,2018-02-22,2018-02-21
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.77,2018-02-14,2018-02-13
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.89,2018-02-02,2018-02-01
"Banco Comercial Português, SA","AQR Capital Management, LLC",0.96,2018-01-31,2018-01-30
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.08,2018-01-23,2018-01-22
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.18,2018-01-18,2018-01-17
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.29,2018-01-08,2018-01-05
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.37,2017-12-30,2017-12-29
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.48,2017-12-21,2017-12-20
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.58,2017-12-18,2017-12-15
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.67,2017-12-12,2017-12-11
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.77,2017-12-06,2017-12-05
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.80,2017-11-03,2017-11-02
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.74,2017-10-27,2017-10-26
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.60,2017-10-18,2017-10-17
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.50,2017-10-12,2017-10-11
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.48,2017-09-20,2017-09-19
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.50,2017-09-15,2017-09-14
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.41,2017-08-29,2017-08-28
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.39,2017-08-28,2017-08-25
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.40,2017-08-25,2017-08-24
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.39,2017-08-15,2017-08-14
"Banco Comercial Português, SA","AQR Capital Management, LLC",1.40,2017-08-11,2017-08-10
